model,dataset,trainer_configuration,fold,test_setting,row_type,case_id,source_case_id,patient_id,series_id,contrast_label,contrast,segment,n_cases,volume_ml,DSC,IoU,HD95_mm,ASSD_mm,volume_error_pct,precision,recall,relative_volume_error_pct,TP,FP,FN,TN,n_pred,n_ref,prediction_file,reference_file,summary_file
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_I,,NA,0.6797140065,0.5265817181,NA,NA,1.289563291,0.6884394738,0.6973173365,1.289563291,41983.16807,18999.92437,18223.52101,11449759.84,60983.09244,60206.68908,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_II,,NA,0.7211503712,0.578194325,NA,NA,-4.126262493,0.7434255206,0.7127498322,-4.126262493,52589.81513,18150.04202,21194.57983,11437032.02,70739.85714,73784.39496,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_III,,NA,0.7570973771,0.6229603713,NA,NA,0.9633636636,0.7568719531,0.7641633825,0.9633636636,63365.94958,20354.88235,19556.04202,11425689.58,83720.83193,82921.9916,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_IV,,NA,0.6316183679,0.4764747084,NA,NA,-11.35201754,0.7057764996,0.6256566276,-11.35201754,45202.52941,18843.9916,27045.61345,11437874.32,64046.52101,72248.14286,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_V,,NA,0.649333308,0.5001527702,NA,NA,-1.553689011,0.6968580545,0.6860310474,-1.553689011,33703.23529,14661.32773,15424.62185,11465177.27,48364.56303,49127.85714,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_VI,,NA,0.6956777436,0.5521049756,NA,NA,-1.076057713,0.7315995476,0.7237271142,-1.076057713,53301.10924,19554.47059,20346.96639,11435763.91,72855.57983,73648.07563,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_VII,,NA,0.5897203938,0.4438958571,NA,NA,-9.445678372,0.682611391,0.6181341144,-9.445678372,27685.47899,12872.70588,17103.31092,11471304.96,40558.18487,44788.78992,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,Couinaud_VIII,,NA,0.6247852238,0.4686027688,NA,NA,13.75913542,0.6350202264,0.7223935193,13.75913542,7215.697479,4147.243697,2772.89916,11514830.61,11362.94118,9988.596639,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,B,Axial Precontrast Fat Suppressed T1w (dynpre),Couinaud_I,32,NA,0.6778867568,0.5233208748,NA,NA,-1.956989344,0.7202476973,0.7061525266,-1.956989344,1572524,610786,654366,376353620,2183310,2226890,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,B,Axial Precontrast Fat Suppressed T1w (dynpre),Couinaud_II,32,NA,0.7364489675,0.5898997847,NA,NA,-16.20430609,0.8098216682,0.6785956863,-16.20430609,1955214,459162,926051,375850869,2414376,2881265,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,B,Axial Precontrast Fat Suppressed T1w (dynpre),Couinaud_III,32,NA,0.7426825466,0.5977149075,NA,NA,-6.073908343,0.7635022462,0.7171278195,-6.073908343,2303923,713649,908786,375264938,3017572,3212709,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,B,Axial Precontrast Fat Suppressed T1w (dynpre),Couinaud_IV,32,NA,0.608831274,0.4593269092,NA,NA,-15.79372336,0.7456531624,0.6278867647,-15.79372336,1567697,534751,929086,376159762,2102448,2496783,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,B,Axial Precontrast Fat Suppressed T1w (dynpre),Couinaud_V,32,NA,nan,nan,NA,NA,-1.64285486,0.7207246612,0.7088842011,-1.64285486,1108943,429707,455407,377197239,1538650,1564350,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,Dataset102_LiverSegmentsAug,nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,B,Axial Precontrast Fat Suppressed T1w (dynpre),Couinaud_VI,32,NA,nan,nan,NA,NA,1.802286075,0.7498750081,0.7633899009,1.802286075,1763820,588332,546690,376292454,2352152,2310510,,,/mnt/researchers/julio-sotelo/datasets/mvarasr/nnUNet_results/Dataset102_LiverSegmentsAug/nnUNetTrainer_250epochs__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
